frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
357,10,10,10,12.438,0.023,19.686,1.44,21.13,47.327
358,10,10,10,12.386,0.022,19.645,1.458,21.107,47.377
359,12,12,12,12.294,0.023,19.604,1.766,21.374,46.786
360,11,11,11,12.273,0.023,19.553,1.558,21.114,47.361
361,9,9,9,12.225,0.022,19.771,1.411,21.187,47.2
362,8,8,8,12.248,0.024,19.134,1.249,20.386,49.052
363,7,7,7,12.295,0.024,18.857,1.798,20.658,48.409
364,7,7,7,12.239,0.024,19.083,1.164,20.25,49.382
365,7,7,7,12.283,0.023,18.586,1.179,19.769,50.584
366,7,7,7,12.299,0.022,18.997,1.262,20.263,49.352
367,8,8,8,12.277,0.022,19.211,1.163,20.377,49.074
368,10,10,10,12.261,0.024,19.229,1.485,20.717,48.27
369,10,10,10,14.629,0.022,19.288,1.431,20.722,48.257
370,9,9,9,12.369,0.022,19.477,1.274,20.754,48.183
371,9,9,9,12.274,0.024,19.267,1.358,20.629,48.476
372,9,9,9,12.291,0.023,19.879,1.408,21.291,46.969
373,12,12,12,12.245,0.022,20.125,1.712,21.841,45.786
374,13,13,13,12.308,0.023,20.117,1.719,21.84,45.788
375,12,12,12,12.199,0.024,19.883,1.875,21.761,45.953
376,12,12,12,12.253,0.024,19.776,1.618,21.398,46.734
377,10,10,10,12.248,0.025,19.742,1.499,21.244,47.071
378,10,10,10,12.36,0.026,19.666,1.594,21.264,47.028
379,14,14,14,12.282,0.023,21.712,1.889,23.604,42.366
380,10,10,10,12.229,0.024,19.716,1.424,21.143,47.297
381,12,12,12,12.257,0.024,19.351,1.674,21.029,47.554
382,12,12,12,12.218,0.023,19.49,1.894,21.387,46.758
383,11,11,11,12.273,0.023,19.544,1.546,21.094,47.406
384,10,10,10,12.254,0.023,19.147,1.458,20.609,48.523
385,10,10,10,12.258,0.026,18.916,1.421,20.341,49.162
386,9,9,9,12.261,0.026,19.27,1.456,20.73,48.239
387,8,8,8,12.206,0.024,19.351,1.211,20.566,48.625
388,10,10,10,12.207,0.052,18.854,1.591,20.449,48.903
389,11,11,11,12.177,0.022,18.807,1.622,20.432,48.943
390,10,10,10,12.191,0.022,18.985,1.362,20.35,49.14
391,9,9,9,12.157,0.022,18.801,1.277,20.082,49.797
392,9,9,9,12.199,0.023,18.564,1.314,19.882,50.298
393,9,9,9,12.191,0.021,18.749,1.297,20.05,49.876
394,9,9,9,12.21,0.022,18.664,1.417,20.084,49.79
395,9,9,9,12.165,0.024,18.793,1.352,20.148,49.632
396,10,10,10,12.19,0.023,19.191,1.436,20.631,48.472
397,9,9,9,12.217,0.023,19.243,1.343,20.589,48.569
398,9,9,9,12.227,0.027,19.11,1.346,20.459,48.879
399,10,10,10,12.175,0.024,19.0,1.604,20.608,48.526
400,10,10,10,12.224,0.023,18.497,1.55,20.051,49.873
401,10,10,10,12.223,0.026,23.016,1.562,24.581,40.681
402,10,10,10,12.171,0.024,21.567,1.538,23.108,43.275
403,10,10,10,12.247,0.025,19.021,1.51,20.534,48.699
404,11,11,11,12.189,0.026,19.261,1.592,20.857,47.946
405,9,9,9,12.191,0.023,18.71,1.369,20.082,49.796
406,8,8,8,12.162,0.022,18.537,1.204,19.744,50.648
407,7,7,7,12.18,0.022,18.416,1.138,19.558,51.131
408,8,8,8,12.148,0.021,21.631,1.153,22.787,43.884
409,9,9,9,12.091,0.026,18.694,1.491,20.189,49.533
410,8,8,8,12.142,0.024,18.73,1.304,20.038,49.905
411,8,8,8,12.163,0.022,18.633,1.287,19.924,50.191
412,9,9,9,12.195,0.02,18.789,1.518,20.311,49.235
413,9,9,9,12.219,0.023,18.535,1.493,20.032,49.92
414,7,7,7,12.215,0.023,18.585,1.189,19.776,50.565
415,8,8,8,12.198,0.023,18.505,1.293,19.802,50.5
416,9,9,9,12.173,0.025,18.62,1.42,20.043,49.892
417,8,8,8,12.237,0.022,18.894,1.32,20.217,49.463
418,8,8,8,12.216,0.021,18.663,1.307,19.973,50.068
419,7,7,7,12.176,0.023,18.766,1.143,19.912,50.22
420,9,9,9,12.222,0.023,18.649,1.397,20.049,49.878
421,10,10,10,12.172,0.02,18.786,1.563,20.352,49.134
422,10,10,10,12.22,0.024,18.812,1.551,20.366,49.101
423,10,10,10,12.202,0.023,18.863,1.395,20.261,49.356
424,9,9,9,12.235,0.022,19.016,1.329,20.348,49.145
425,8,8,8,12.156,0.02,18.737,1.224,19.964,50.089
426,8,8,8,12.167,0.023,19.471,1.189,20.664,48.393
427,9,9,9,12.129,0.024,18.656,1.36,20.019,49.952
428,9,9,9,12.15,0.024,18.786,1.397,20.187,49.538
