frame,timestamp_sec,capture_ms,infer_track_ms,state_ms,display_ms,total_loop_ms,person_count,average_fps,recent_fps
317,10.793789,2.208,31.116,0.592,0.003,33.935,1,29.460,29.976
318,10.827071,1.478,31.156,0.665,0.004,33.320,1,29.461,29.976
319,10.860123,1.219,31.108,0.764,0.002,33.111,1,29.464,29.986
320,10.893287,1.314,31.032,0.601,0.003,32.966,1,29.466,30.002
321,10.927450,2.105,31.402,0.643,0.003,34.171,1,29.465,29.964
322,10.967841,1.158,38.534,0.611,0.003,40.323,1,29.448,29.682
323,10.998830,0.558,29.766,0.620,0.003,30.963,1,29.456,29.785
324,11.030624,0.607,30.513,0.576,0.002,31.715,1,29.462,29.853
325,11.062761,0.626,30.878,0.571,0.003,32.095,1,29.467,29.902
326,11.095347,0.662,31.297,0.696,0.003,32.675,1,29.470,29.927
327,11.128030,0.552,31.377,0.606,0.003,32.554,1,29.474,29.954
328,11.159939,0.818,30.428,0.553,0.003,31.818,1,29.479,30.003
329,11.194921,2.028,32.350,0.569,0.003,34.965,1,29.476,29.952
330,11.228672,1.098,32.030,0.558,0.003,33.705,1,29.477,29.941
331,11.276417,0.545,46.518,0.592,0.003,47.675,1,29.440,20.934
332,11.307567,0.917,29.585,0.672,0.003,31.192,1,29.448,25.317
333,11.338413,0.592,29.527,0.551,0.003,30.689,1,29.456,27.341
334,11.370419,0.543,30.859,0.640,0.003,32.061,1,29.461,28.205
335,11.405949,0.925,33.913,0.552,0.003,35.409,1,29.457,28.207
336,11.440197,0.560,33.082,0.552,0.002,34.212,1,29.456,28.368
337,11.472881,0.553,31.529,0.558,0.003,32.658,1,29.459,28.665
338,11.506022,0.548,31.985,0.543,0.003,33.093,1,29.461,28.847
339,11.540135,0.555,32.962,0.623,0.004,34.158,1,29.461,28.891
340,11.572544,0.566,31.165,0.548,0.003,32.297,1,29.465,29.082
341,11.603938,0.565,30.228,0.397,0.003,31.205,1,29.472,29.326
342,11.634063,0.483,29.207,0.559,0.003,30.265,1,29.481,29.602
343,11.663893,0.541,28.680,0.576,0.003,29.816,1,29.491,29.869
344,11.695054,0.557,29.975,0.572,0.003,31.123,1,29.498,30.018
345,11.726502,0.539,30.251,0.545,0.003,31.353,1,29.504,30.132
346,11.759189,1.796,30.292,0.584,0.003,32.691,1,29.507,30.158
347,11.793902,3.416,30.658,0.583,0.003,34.677,1,29.505,30.075
348,11.825927,0.862,30.525,0.563,0.003,31.969,1,29.510,30.138
349,11.858672,1.915,30.212,0.792,0.004,32.943,1,29.512,30.148
350,11.893572,3.979,30.062,0.552,0.003,34.614,1,29.510,30.080
351,11.925868,1.144,30.545,0.576,0.003,32.285,1,29.514,30.120
352,11.959036,3.011,29.528,0.492,0.003,33.048,1,29.516,30.125
353,11.991393,2.395,29.422,0.584,0.003,32.419,1,29.520,30.155
354,12.026789,3.194,31.568,0.776,0.003,35.557,1,29.516,30.063
355,12.060907,2.284,31.001,0.593,0.003,33.898,1,29.515,30.039
356,12.092812,1.227,30.030,0.527,0.003,31.802,1,29.520,30.089
357,12.126266,3.056,29.819,0.586,0.003,33.481,1,29.521,30.080
358,12.166934,1.044,38.982,0.633,0.003,40.680,1,29.505,29.840
359,12.197399,0.632,29.142,0.595,0.003,30.388,1,29.513,29.935
360,12.228879,0.542,30.289,0.632,0.004,31.483,1,29.519,29.992
361,12.273103,0.534,42.931,0.553,0.003,44.035,1,29.494,22.659
362,12.305788,0.549,31.536,0.504,0.003,32.606,1,29.497,26.052
363,12.337510,0.535,30.634,0.498,0.003,31.683,1,29.502,27.654
364,12.368805,0.534,30.214,0.766,0.004,31.536,1,29.508,28.562
365,12.400248,0.560,30.059,0.575,0.003,31.212,1,29.514,29.188
366,12.430342,0.566,28.898,0.507,0.003,29.988,1,29.523,29.802
367,12.460822,0.530,29.395,0.552,0.003,30.494,1,29.531,30.192
368,12.492558,1.209,29.921,0.542,0.003,31.690,1,29.536,30.352
369,12.526927,3.235,30.540,0.606,0.003,34.401,1,29.535,30.200
370,12.558655,0.668,30.400,0.572,0.003,31.659,1,29.540,30.330
371,12.593106,3.334,30.490,0.587,0.003,34.431,1,29.539,30.206
